2022-05-23 09:18:27,902 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-05-23 09:24:59,391 [Worker-5: Creating project "backstatement"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: dev.bank:backstatement:0.0.1-SNAPSHOT @ C:\Bigdata\02.backend\3.oop\backstatement\pom.xml.
2022-05-23 09:25:03,307 [Worker-5: Creating project "backstatement"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /backstatement/src/main/java
2022-05-23 09:25:03,310 [Worker-5: Creating project "backstatement"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /backstatement/src/main/resources
2022-05-23 09:25:03,312 [Worker-5: Creating project "backstatement"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /backstatement/src/test/java
2022-05-23 09:25:03,313 [Worker-5: Creating project "backstatement"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /backstatement/src/test/resources
2022-05-23 09:25:06,504 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-05-23 09:25:06,522 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-05-23 09:25:06,526 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-05-23 09:25:06,529 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-05-23 09:27:11,310 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: dev.bank:backstatement:0.0.1-SNAPSHOT @ C:\Bigdata\02.backend\3.oop\backstatement\pom.xml.
2022-05-23 09:27:11,995 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-05-23 09:27:12,003 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-05-23 09:27:12,005 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-05-23 09:27:12,008 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-05-23 09:28:15,758 [Worker-20: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2022-05-23 09:28:17,435 [Worker-20: Updating Maven Project] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: dev.bank:backstatement:0.0.1-SNAPSHOT @ C:\Bigdata\02.backend\3.oop\backstatement\pom.xml.
2022-05-23 09:28:17,932 [Worker-20: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /backstatement/src/main/java
2022-05-23 09:28:17,933 [Worker-20: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /backstatement/src/main/resources
2022-05-23 09:28:17,934 [Worker-20: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /backstatement/src/test/java
2022-05-23 09:28:17,935 [Worker-20: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /backstatement/src/test/resources
2022-05-23 09:28:18,720 [Worker-20: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2022-05-23 09:28:18,902 [Worker-20: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-05-23 09:28:18,906 [Worker-20: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-05-23 09:28:18,913 [Worker-20: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-05-23 09:28:18,916 [Worker-20: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
